"algorithm","N","correlation","sd","se","ci"
"egoprefix",4,0.5575,0.425313609783024,0.212656804891512,0.676768863020431
"egotsb",4,0.58,0.437797517885457,0.218898758942728,0.696633546628475
"exact",4,1,0,0,0
"onbra_equal",3,0.78,0.0888819441731559,0.0513160143944688,0.220794989414224
"onbra_half",3,0.696666666666667,0.0832666399786453,0.0480740170061865,0.206845800501691
"onbra_twice",4,0.6475,0.409013039726934,0.204506519863467,0.65083101854592
"prefix",4,0.87,0.0752772652709081,0.037638632635454,0.119782927366631
"ptd",4,0.74,0.258069758011279,0.129034879005639,0.410646573944227
