"algorithm","N","running_time","sd","se","ci"
"egoprefix",4,228.960425,427.936351057852,213.968175528926,680.942229660326
"egotsb",4,290.85055,532.379956480016,266.189978240008,847.135312753463
"exact",4,4294.748775,5630.98890807329,2815.49445403664,8960.15992279568
"onbra_equal",3,99.7006333333333,88.6386122502114,51.1755266432544,220.190519407965
"onbra_half",3,57.4807,55.4273809148511,32.0010132916652,137.689247194132
"onbra_twice",4,178.59865,171.715441365737,85.8577206828687,273.237585967276
"prefix",4,95.3541,88.674356001195,44.3371780005975,141.100688314708
"ptd",4,0.0459,0.0479707549798138,0.0239853774899069,0.0763321759735893
