Network time_exact time_ego time_prefix time_ptd cor_ego cor_prefix cor_ptd h_10_ego h_10_prefix h_10_ptd h_25_ego h_25_prefix h_25_ptd h_50_ego h_50_prefix h_50_ptd h_10%_ego h_10%_prefix h_10%_ptd
01_venice 5 0.2 0.1 0.01 0.4866 0.8052 0.4057 247 209 391 484 469 499 1506 469 1534 484 469 499 
02_college_msg 5 0.2 0.1 0.01 0.9657 0.9418 0.9648 22 122 18 36 122 45 92 149 82 24 122 23 
03_email_eu 5 0.2 0.1 0.01 0.0 0.9259 0.9292 0 70 43 0 83 68 0 180 119 0 70 43 
04_bordeaux 5 0.2 0.1 0.01 0.3075 0.7686 0.4292 2965 591 1341 3323 591 1960 3323 816 1974 3323 591 1974 
06_infectious 5 0.2 0.1 0.01 0.8594 0.7994 0.6601 2645 1217 4685 5149 5541 7161 7455 6685 7605 8330 6685 9919 
09_wiki_elections 5 0.2 0.1 0.01 0.7653 0.7444 0.7681 20 177 31 35 177 49 102 426 134 173 426 272 
10_facebook_wall 5 0.2 0.1 0.01 0.9581 0.9681 0.9418 125 106 123 329 109 337 1074 339 1035 2341 640 2152 
11_digg_reply 5 0.2 0.1 0.01 0.9649 0.9635 0.965 29 14 45 391 36 400 445 58 432 4980 420 4985
